Date,return_AAPL,return_AMZN,return_EBAY,return_GOOGL,return_INTC,return_QCOM,return_SPY
2019/12/17,0.00196534,0.012124097,0.014124293,-0.004269814,-0.006932444,-0.001243922,0.000219114
2019/12/18,-0.002389401,-0.003702548,-0.007242423,-0.002199426,-0.002268778,-0.003849604,6.25E-05
2019/12/19,0.001000915,0.004624362,0.011223401,0.003350746,0.013818454,0.005796715,0.004098996
2019/12/20,-0.002071224,-0.003224959,0.004161987,-0.003848287,0.01708078,0.004068256,-0.000529707
2019/12/23,0.016318336,0.003638399,0.000552639,-0.000436617,0.004749771,-0.004501981,0.001527734
2019/12/24,0.000950662,-0.002113798,0,-0.004590414,0.003039001,0.003617863,3.12E-05
2019/12/26,0.01984035,0.044466586,0.001104695,0.013418264,0.006901195,-0.004168019,0.00532326
2019/12/27,-0.000379483,0.00055118,-0.004965517,-0.005746883,0.004346406,0.004524898,-0.000247777
2019/12/30,0.005935128,-0.012252665,-0.007485473,-0.011021418,-0.007656508,-0.0041667,-0.00551322
2019/12/31,0.007306545,0.000514352,0.008659274,-0.000238817,0.003857749,-0.002261642,0.002429295
2020/1/2,0.022816333,0.027150643,0.005261645,0.021868193,0.016541387,0.005213635,0.009351924
2020/1/3,-0.009722044,-0.01213905,-0.009366391,-0.005231342,-0.012163083,-0.018829687,-0.007572232
2020/1/6,0.007968248,0.01488559,-0.005005562,0.026654062,-0.002828586,-0.005860664,0.003815052
2020/1/7,-0.004703042,0.002091556,-0.004471772,-0.001931646,-0.016686134,0.028436007,-0.002811778
2020/1/8,0.016086289,-0.007808656,-0.00056151,0.007117757,0.000678788,-0.002922356,0.005329535
2020/1/9,0.021240806,0.004799272,-0.011797697,0.010497921,0.005596032,0.01352728,0.00678065
2020/1/10,0.002260711,-0.009410597,-0.008243348,0.006458647,-0.006070826,0.003892759,-0.002877707
2020/1/13,0.021364368,0.00432253,-0.004585813,0.007746941,0.011028181,0.007866153,0.006877348
2020/1/14,-0.013503282,-0.011558244,0.017851944,-0.006555463,-0.002685014,-0.004507013,-0.001524623
2020/1/15,-0.004285519,-0.003969061,-0.000565658,0.006018486,-0.008245011,-0.009827739,0.002259856
2020/1/16,0.012526486,0.008549812,0.016699574,0.0076154,0.01221583,0.023642278,0.008318386
2020/1/17,0.011070994,-0.007039613,-0.002783909,0.020246032,-0.001005732,0.044885096,0.003112532
